Name,Age,Occupation,Annual Income (INR),Credit Score (300-850),Lender,Loan Purpose,Approved Loan Amount (INR),Months of Payment,Interest Rate (%),Monthly EMI (INR),DTI Ratio,Loan Status (Pass/Rejected)
Person 4033,25,Software Engineer,2149701,672,HDFC Bank,Debt Consolidation,643764,60,16.61,15865,0.089,Rejected
Person 4034,48,CEO,42568929,794,HDFC Bank,Travel/Vacation,657820,18,6.58,38479,0.011,Pass
Person 4035,37,Software Engineer,1873644,758,ICICI Bank,Debt Consolidation,523391,48,10.37,13368,0.086,Pass
Person 4036,57,CEO,42575238,774,Axis Bank,Travel/Vacation,682147,18,11.69,41501,0.012,Pass
Person 4037,57,CEO,59263657,763,Kotak Mahindra Bank,Travel/Vacation,860996,18,10.19,51784,0.01,Pass
Person 4038,19,University Student,0,659,State Bank of India,Wedding Expenses,920372,48,17.78,26930,26930.237,Rejected
Person 4039,30,Construction Worker,474625,737,HDFC Bank,Education (Tuition/Fees),564837,60,11.49,12419,0.314,Pass
Person 4040,45,Freelance Designer,850534,762,State Bank of India,Home Renovation,1064712,60,10.03,22638,0.319,Pass
Person 4041,24,University Student,64796,672,Kotak Mahindra Bank,Vehicle Purchase,532221,36,12.72,17861,3.308,Rejected
Person 4042,25,Retail Manager,434297,691,State Bank of India,Medical Emergency,937220,36,14.7,32352,0.894,Rejected
Person 4043,42,High School Teacher,994508,679,Axis Bank,Home Renovation,904874,60,15.22,21632,0.261,Pass
Person 4044,24,Construction Worker,464548,758,ICICI Bank,Education (Tuition/Fees),581866,60,11.28,12733,0.329,Pass
Person 4045,30,High School Teacher,322802,716,State Bank of India,Medical Emergency,558350,12,14.69,50314,1.87,Rejected
Person 4046,36,High School Teacher,701117,703,Bajaj Finserv,Medical Emergency,919200,36,9.53,29458,0.504,Rejected
Person 4047,33,Retail Manager,1809289,655,ICICI Bank,Medical Emergency,662686,24,23.56,34892,0.231,Rejected
Person 4048,42,Freelance Designer,1035219,716,Kotak Mahindra Bank,Home Renovation,753416,48,11.84,19781,0.229,Pass
Person 4049,21,University Student,56771,691,ICICI Bank,Vehicle Purchase,1022004,60,13.97,23764,5.023,Rejected
Person 4050,37,Doctor,1035382,732,State Bank of India,Debt Consolidation,950645,72,21.85,23801,0.276,Pass
Person 4051,23,University Student,28709,662,State Bank of India,Consumer Durable/Tech,585650,12,14.47,52713,22.034,Rejected
Person 4052,43,Construction Worker,616325,728,Bajaj Finserv,Education (Tuition/Fees),790087,72,7.38,13615,0.265,Pass
Person 4053,18,University Student,0,698,HDFC Bank,Vehicle Purchase,581776,36,18.68,21232,21231.584,Rejected
Person 4054,25,Freelance Designer,1134549,657,Bajaj Finserv,Home Renovation,1088858,60,22.95,30664,0.324,Rejected
Person 4055,22,University Student,73569,653,State Bank of India,Wedding Expenses,1372493,48,20.84,42382,6.913,Rejected
Person 4056,35,Software Engineer,2180992,661,ICICI Bank,Debt Consolidation,600156,60,22.65,16798,0.092,Rejected
Person 4057,20,University Student,113594,709,Bajaj Finserv,Vehicle Purchase,796304,48,15.23,22255,2.351,Rejected
Person 4058,37,Software Engineer,3823942,726,Bajaj Finserv,Debt Consolidation,1106969,72,15.82,23903,0.075,Pass
Person 4059,18,University Student,63899,733,HDFC Bank,Consumer Durable/Tech,811711,24,12.31,38328,7.198,Rejected
Person 4060,61,CEO,42854452,735,State Bank of India,Travel/Vacation,978306,24,12.99,46506,0.013,Rejected
Person 4061,43,Retail Manager,1111871,682,State Bank of India,Medical Emergency,819460,24,17.11,40559,0.438,Rejected
Person 4062,51,Doctor,1701159,772,Kotak Mahindra Bank,Debt Consolidation,557629,48,12.75,14891,0.105,Pass
Person 4063,19,University Student,7626,697,HDFC Bank,Wedding Expenses,838921,36,16.31,29623,46.613,Rejected
Person 4064,42,Retail Manager,793064,742,Kotak Mahindra Bank,Medical Emergency,1190672,36,9.46,38118,0.577,Rejected
Person 4065,21,University Student,52227,711,Kotak Mahindra Bank,Vehicle Purchase,897756,60,16.5,22071,5.071,Rejected
Person 4066,39,Software Engineer,1005125,738,Kotak Mahindra Bank,Debt Consolidation,1414660,72,15.19,30059,0.359,Rejected
Person 4067,34,Software Engineer,903665,709,Axis Bank,Debt Consolidation,435093,48,14.22,11938,0.159,Rejected
Person 4068,58,CEO,45677828,739,Kotak Mahindra Bank,Travel/Vacation,918209,24,15.47,44726,0.012,Rejected
Person 4069,34,Construction Worker,369222,719,Bajaj Finserv,Education (Tuition/Fees),642683,60,11.25,14054,0.457,Pass
Person 4070,22,University Student,0,760,ICICI Bank,Vehicle Purchase,593849,36,7.29,18415,18415.176,Rejected
Person 4071,27,Retail Manager,467069,679,Bajaj Finserv,Medical Emergency,1279510,36,17.15,45714,1.174,Rejected
Person 4072,45,Construction Worker,421915,631,Bajaj Finserv,Education (Tuition/Fees),666380,60,17.02,16568,0.471,Rejected
Person 4073,23,Freelance Designer,592069,671,State Bank of India,Home Renovation,712421,48,15.7,20081,0.407,Pass
Person 4074,43,Construction Worker,424938,773,Axis Bank,Education (Tuition/Fees),906947,72,9.31,16488,0.466,Pass
Person 4075,38,Construction Worker,557745,712,Kotak Mahindra Bank,Education (Tuition/Fees),381123,48,10.84,9821,0.211,Pass
Person 4076,25,Freelance Designer,302185,724,State Bank of India,Home Renovation,1288610,60,12.99,29313,1.164,Rejected
Person 4077,38,High School Teacher,897822,667,HDFC Bank,Medical Emergency,1559631,36,19.61,57652,0.771,Rejected
Person 4078,31,Retail Manager,1925592,723,HDFC Bank,Medical Emergency,1106068,36,11.39,36416,0.227,Pass
Person 4079,20,University Student,102898,668,State Bank of India,Wedding Expenses,928751,48,19.94,28233,3.292,Rejected
Person 4080,54,Doctor,1783287,676,ICICI Bank,Debt Consolidation,746659,60,14.61,17610,0.119,Rejected
Person 4081,24,Construction Worker,390470,699,State Bank of India,Education (Tuition/Fees),554115,60,10.34,11866,0.365,Pass
Person 4082,44,Doctor,1241095,742,State Bank of India,Debt Consolidation,1218602,72,8.75,21815,0.211,Pass
Person 4083,27,Construction Worker,427902,747,Axis Bank,Education (Tuition/Fees),1106608,84,5.37,15834,0.444,Pass
Person 4084,76,Retired (Pension),190477,748,HDFC Bank,Wedding Expenses,941185,48,8.41,23159,1.459,Rejected
Person 4085,41,Doctor,2086693,640,HDFC Bank,Debt Consolidation,885413,72,14.41,18440,0.106,Rejected
Person 4086,44,Software Engineer,1196107,719,Kotak Mahindra Bank,Debt Consolidation,893522,72,12.99,17932,0.18,Rejected
Person 4087,35,Software Engineer,1825714,710,Bajaj Finserv,Debt Consolidation,670524,60,16.95,16646,0.109,Rejected
Person 4088,46,Construction Worker,460789,643,State Bank of India,Education (Tuition/Fees),1815064,84,23.17,43840,1.142,Rejected
Person 4089,21,University Student,54092,720,State Bank of India,Vehicle Purchase,728909,48,14.55,20120,4.464,Rejected
Person 4090,30,Software Engineer,419383,707,ICICI Bank,Debt Consolidation,694040,60,17.66,17496,0.501,Rejected
Person 4091,60,Retired (Pension),171295,745,HDFC Bank,Wedding Expenses,1187878,48,9.51,29849,2.091,Rejected
Person 4092,41,Retail Manager,1651446,724,ICICI Bank,Medical Emergency,796844,24,12.38,37652,0.274,Pass
Person 4093,40,High School Teacher,1054289,692,Axis Bank,Home Renovation,799638,48,7.66,19394,0.221,Pass
Person 4094,24,University Student,0,766,Kotak Mahindra Bank,Consumer Durable/Tech,1315640,36,8.98,41825,41824.755,Rejected
Person 4095,38,Retail Manager,1509737,608,ICICI Bank,Medical Emergency,989478,36,11.42,32591,0.259,Rejected
Person 4096,32,High School Teacher,519120,716,HDFC Bank,Home Renovation,1037051,60,17.26,25919,0.599,Rejected
Person 4097,36,Software Engineer,1817871,631,Axis Bank,Debt Consolidation,462483,48,24.61,15234,0.101,Rejected
Person 4098,34,Software Engineer,3154837,674,State Bank of India,Debt Consolidation,925057,72,13.06,18599,0.071,Rejected
Person 4099,48,Retail Manager,2155609,746,Axis Bank,Medical Emergency,567630,12,6.7,49037,0.273,Pass
Person 4100,39,Software Engineer,1921125,656,Bajaj Finserv,Debt Consolidation,687283,60,21.19,18667,0.117,Rejected
Person 4101,30,Construction Worker,418660,648,ICICI Bank,Education (Tuition/Fees),809819,72,18.59,18741,0.537,Rejected
Person 4102,26,High School Teacher,698285,839,HDFC Bank,Medical Emergency,794862,24,5.96,35214,0.605,Rejected
Person 4103,26,Freelance Designer,575960,652,ICICI Bank,Home Renovation,1010291,60,21.09,27383,0.571,Rejected
Person 4104,30,Software Engineer,1565851,802,State Bank of India,Debt Consolidation,1052008,72,7.64,18261,0.14,Pass
Person 4105,28,Retail Manager,1854929,711,State Bank of India,Medical Emergency,1079758,36,16.03,37977,0.246,Pass
Person 4106,42,Construction Worker,355356,693,HDFC Bank,Education (Tuition/Fees),504650,48,7.72,12254,0.414,Pass
Person 4107,45,CEO,44770008,748,Bajaj Finserv,Travel/Vacation,1828670,24,6.55,81502,0.022,Pass
Person 4108,31,Software Engineer,1305471,786,Kotak Mahindra Bank,Debt Consolidation,798106,60,9.85,16899,0.155,Pass
Person 4109,21,University Student,34966,662,Axis Bank,Consumer Durable/Tech,1226621,36,23.39,47732,16.381,Rejected
Person 4110,46,Freelance Designer,778084,694,Axis Bank,Home Renovation,336163,36,8.79,10657,0.164,Pass
Person 4111,33,Freelance Designer,410872,762,State Bank of India,Home Renovation,734045,48,7.15,17629,0.515,Rejected
Person 4112,37,Freelance Designer,412854,734,ICICI Bank,Home Renovation,484648,36,11.66,16019,0.466,Pass
Person 4113,40,Software Engineer,2518809,775,ICICI Bank,Debt Consolidation,596822,60,12.73,13497,0.064,Pass
Person 4114,35,Software Engineer,1139333,745,Bajaj Finserv,Debt Consolidation,819189,60,4.92,15429,0.163,Pass
Person 4115,42,Construction Worker,419408,810,Kotak Mahindra Bank,Education (Tuition/Fees),716565,72,4.63,11418,0.327,Pass
Person 4116,25,Retail Manager,2246520,728,ICICI Bank,Medical Emergency,1270500,36,12.39,42436,0.227,Pass
Person 4117,22,University Student,73165,731,Axis Bank,Consumer Durable/Tech,1487911,36,13.05,50169,8.228,Rejected
Person 4118,31,High School Teacher,713952,736,ICICI Bank,Medical Emergency,575379,24,11.71,27007,0.454,Rejected
Person 4119,28,Software Engineer,3277116,712,Kotak Mahindra Bank,Debt Consolidation,679534,60,15.5,16345,0.06,Rejected
Person 4120,74,Retired (Pension),185943,762,Axis Bank,Wedding Expenses,562674,24,8.9,25680,1.657,Rejected
Person 4121,40,Retail Manager,1042905,731,ICICI Bank,Medical Emergency,1202565,36,12.64,40311,0.464,Rejected
Person 4122,30,Freelance Designer,803136,759,Axis Bank,Home Renovation,850634,48,8.57,20995,0.314,Pass
Person 4123,32,Construction Worker,507363,767,State Bank of India,Education (Tuition/Fees),814054,72,7.14,13934,0.33,Pass
Person 4124,18,University Student,33347,741,State Bank of India,Consumer Durable/Tech,897216,36,9.73,28837,10.377,Rejected
Person 4125,24,University Student,36205,745,Bajaj Finserv,Wedding Expenses,722512,36,9.42,23117,7.662,Rejected
Person 4126,46,Construction Worker,297348,669,State Bank of India,Education (Tuition/Fees),597814,60,14.69,14125,0.57,Rejected
Person 4127,45,Construction Worker,413296,692,ICICI Bank,Education (Tuition/Fees),819369,72,9.22,14859,0.431,Pass
Person 4128,22,University Student,0,762,Kotak Mahindra Bank,Consumer Durable/Tech,733684,24,8.3,33283,33283.017,Rejected
Person 4129,43,Retail Manager,1586179,791,Axis Bank,Medical Emergency,908028,36,7.64,28304,0.214,Pass
Person 4130,28,Software Engineer,3346687,622,HDFC Bank,Debt Consolidation,427615,48,17.74,12503,0.045,Rejected
Person 4131,29,Retail Manager,953314,691,State Bank of India,Medical Emergency,858743,36,15.84,30123,0.379,Rejected
Person 4132,32,Doctor,1025096,721,State Bank of India,Debt Consolidation,633583,60,19.13,16481,0.193,Pass
Person 4133,30,Construction Worker,329987,676,HDFC Bank,Education (Tuition/Fees),848382,72,11.16,16218,0.59,Rejected
Person 4134,23,Construction Worker,519504,678,HDFC Bank,Education (Tuition/Fees),1102283,84,9.94,18265,0.422,Pass
Person 4135,23,Freelance Designer,685404,743,ICICI Bank,Home Renovation,663496,48,7.4,16012,0.28,Pass
Person 4136,37,Software Engineer,2005400,799,Axis Bank,Debt Consolidation,1219774,72,13.07,24531,0.147,Pass
Person 4137,74,Retired (Pension),228967,618,State Bank of India,Wedding Expenses,410586,24,22.48,21398,1.121,Rejected
Person 4138,49,Retail Manager,1508247,711,Kotak Mahindra Bank,Medical Emergency,1376007,36,13.18,46483,0.37,Pass
Person 4139,44,Construction Worker,247681,743,ICICI Bank,Education (Tuition/Fees),1237524,84,7.12,18750,0.908,Rejected
Person 4140,33,Freelance Designer,709839,759,ICICI Bank,Home Renovation,591597,48,9.81,14951,0.253,Pass
Person 4141,47,Retail Manager,1500553,735,Kotak Mahindra Bank,Medical Emergency,593308,24,12.62,28101,0.225,Pass
Person 4142,28,Software Engineer,1790787,808,Kotak Mahindra Bank,Debt Consolidation,478972,48,5.1,11052,0.074,Pass
Person 4143,32,Software Engineer,2624527,721,Bajaj Finserv,Debt Consolidation,1108500,72,18.44,25559,0.117,Pass
Person 4144,18,University Student,78327,785,Kotak Mahindra Bank,Vehicle Purchase,717646,48,6.68,17079,2.617,Rejected
Person 4145,24,University Student,17576,687,HDFC Bank,Consumer Durable/Tech,699626,24,12.75,33179,22.653,Rejected
Person 4146,26,Construction Worker,344107,722,State Bank of India,Education (Tuition/Fees),545015,60,7.2,10843,0.378,Pass
Person 4147,44,Software Engineer,2675838,659,Bajaj Finserv,Debt Consolidation,1510346,72,20.92,36987,0.166,Rejected
Person 4148,42,High School Teacher,639096,765,HDFC Bank,Medical Emergency,574207,24,8.32,26054,0.489,Rejected
Person 4149,70,Retired (Pension),270601,713,Bajaj Finserv,Wedding Expenses,811711,36,14.53,27952,1.24,Rejected
Person 4150,24,University Student,0,737,State Bank of India,Wedding Expenses,867663,48,12.52,23071,23071.049,Rejected
Person 4151,33,Software Engineer,1155206,704,Bajaj Finserv,Debt Consolidation,700888,60,17.46,17593,0.183,Rejected
Person 4152,41,Software Engineer,1378755,749,HDFC Bank,Debt Consolidation,653315,60,10.9,14172,0.123,Pass
Person 4153,71,Retired (Pension),168592,739,Axis Bank,Wedding Expenses,708096,36,11.39,23313,1.659,Rejected
Person 4154,28,Retail Manager,1850645,670,State Bank of India,Medical Emergency,979567,36,13.95,33455,0.217,Rejected
Person 4155,31,Retail Manager,1618225,673,ICICI Bank,Medical Emergency,713502,24,15.23,34673,0.257,Rejected
Person 4156,34,Software Engineer,742122,718,State Bank of India,Debt Consolidation,1415651,72,17.44,31841,0.515,Rejected
Person 4157,48,Freelance Designer,472451,752,State Bank of India,Home Renovation,614572,48,4.41,13989,0.355,Pass
Person 4158,22,University Student,31437,813,State Bank of India,Vehicle Purchase,1045971,60,7.42,20919,7.985,Rejected
Person 4159,63,CEO,43256956,735,Axis Bank,Travel/Vacation,437345,12,14.46,39363,0.011,Rejected
Person 4160,32,Freelance Designer,630879,770,HDFC Bank,Home Renovation,614572,48,9.94,15569,0.296,Pass
Person 4161,34,Freelance Designer,422730,639,ICICI Bank,Home Renovation,556097,36,19.49,20522,0.583,Rejected
Person 4162,32,Software Engineer,2127251,820,HDFC Bank,Debt Consolidation,548619,48,8.61,13551,0.076,Pass
Person 4163,29,Freelance Designer,967059,750,Bajaj Finserv,Home Renovation,888206,60,6.16,17238,0.214,Pass
Person 4164,25,Retail Manager,1849362,717,Bajaj Finserv,Medical Emergency,774680,24,11.88,36423,0.236,Pass
Person 4165,36,Construction Worker,437721,711,Bajaj Finserv,Education (Tuition/Fees),364815,48,13.26,9834,0.27,Pass
Person 4166,49,Retail Manager,1881376,664,HDFC Bank,Medical Emergency,1609727,36,19.79,59651,0.38,Rejected
Person 4167,40,Doctor,2371297,678,Kotak Mahindra Bank,Debt Consolidation,855680,60,17.22,21367,0.108,Rejected
Person 4168,35,Software Engineer,2333302,815,Axis Bank,Debt Consolidation,805314,60,10.13,17162,0.088,Pass
Person 4169,22,Retail Manager,2461971,670,Kotak Mahindra Bank,Medical Emergency,1268698,36,19.8,47020,0.229,Rejected
Person 4170,41,Software Engineer,720059,669,Bajaj Finserv,Debt Consolidation,1134810,72,23.51,29539,0.492,Rejected
Person 4171,39,Software Engineer,1435840,684,Axis Bank,Debt Consolidation,725756,60,13.19,16584,0.139,Rejected
Person 4172,64,CEO,38423653,660,HDFC Bank,Travel/Vacation,408604,12,23.65,38568,0.012,Rejected
Person 4173,30,High School Teacher,580230,720,Bajaj Finserv,Medical Emergency,979207,36,11.26,32179,0.666,Rejected
Person 4174,45,Freelance Designer,1010574,774,HDFC Bank,Home Renovation,576190,36,8.09,18080,0.215,Pass
Person 4175,23,University Student,99057,689,Axis Bank,Vehicle Purchase,1237884,60,12.35,27755,3.362,Rejected
Person 4176,59,CEO,43794846,651,HDFC Bank,Travel/Vacation,614752,18,25.4,41427,0.011,Rejected
Person 4177,30,Freelance Designer,146143,734,HDFC Bank,Home Renovation,688004,48,10.8,17715,1.455,Rejected
Person 4178,23,University Student,30653,717,ICICI Bank,Vehicle Purchase,504830,36,12.14,16801,6.577,Rejected
Person 4179,39,Retail Manager,1473881,770,Kotak Mahindra Bank,Medical Emergency,519246,12,9.7,45578,0.371,Pass
Person 4180,47,Retail Manager,1223590,697,Kotak Mahindra Bank,Medical Emergency,775040,24,15.72,37845,0.371,Rejected
Person 4181,41,High School Teacher,687195,706,Kotak Mahindra Bank,Medical Emergency,750353,24,13.94,36005,0.629,Rejected
Person 4182,39,Construction Worker,556552,712,State Bank of India,Education (Tuition/Fees),682327,60,18.37,17464,0.377,Pass
Person 4183,26,Construction Worker,393424,724,ICICI Bank,Education (Tuition/Fees),1642163,84,15.47,32123,0.98,Rejected
Person 4184,41,Retail Manager,1698433,700,Bajaj Finserv,Medical Emergency,992722,36,7.45,30857,0.218,Pass
Person 4185,44,Software Engineer,722196,692,Bajaj Finserv,Debt Consolidation,807837,60,15.05,19240,0.32,Rejected
Person 4186,30,Construction Worker,344480,627,Bajaj Finserv,Education (Tuition/Fees),301835,48,18.19,8896,0.31,Rejected
Person 4187,35,Software Engineer,1080960,691,Kotak Mahindra Bank,Debt Consolidation,1072280,72,16.56,23592,0.262,Rejected
Person 4188,45,Freelance Designer,421146,755,Kotak Mahindra Bank,Home Renovation,2277368,60,12.19,50878,1.45,Rejected
Person 4189,43,Construction Worker,588115,762,ICICI Bank,Education (Tuition/Fees),754047,72,7.39,12997,0.265,Pass
Person 4190,60,Retired (Pension),204946,696,HDFC Bank,Wedding Expenses,607454,36,14.31,20853,1.221,Rejected
Person 4191,19,University Student,136899,784,Kotak Mahindra Bank,Wedding Expenses,851896,48,9.76,21508,1.885,Rejected
Person 4192,23,University Student,71448,718,Bajaj Finserv,Vehicle Purchase,489603,36,15.05,16984,2.853,Rejected
Person 4193,26,High School Teacher,93550,653,HDFC Bank,Home Renovation,945059,60,21.14,25642,3.289,Rejected
Person 4194,74,Retired (Pension),216917,637,Kotak Mahindra Bank,Wedding Expenses,1239506,48,12.96,33228,1.838,Rejected
Person 4195,47,Construction Worker,255198,780,Axis Bank,Education (Tuition/Fees),637638,60,8.47,13073,0.615,Rejected
Person 4196,38,Software Engineer,2240813,701,State Bank of India,Debt Consolidation,644846,60,15.4,15477,0.083,Rejected
Person 4197,29,Software Engineer,1213214,659,Kotak Mahindra Bank,Debt Consolidation,782969,60,18.01,19887,0.197,Rejected
Person 4198,27,Retail Manager,1279087,607,Axis Bank,Medical Emergency,637187,24,25.43,34145,0.32,Rejected
Person 4199,30,High School Teacher,736413,700,ICICI Bank,Medical Emergency,476088,12,17.71,43582,0.71,Rejected
Person 4200,43,Construction Worker,180119,740,Axis Bank,Education (Tuition/Fees),704132,72,6.06,11689,0.779,Rejected
Person 4201,23,University Student,66937,685,ICICI Bank,Vehicle Purchase,656469,48,11.95,17271,3.096,Rejected
Person 4202,42,Software Engineer,1559339,667,Kotak Mahindra Bank,Debt Consolidation,1293836,72,22.27,32717,0.252,Rejected
Person 4203,38,Software Engineer,498150,692,ICICI Bank,Debt Consolidation,1202384,72,15.09,25483,0.614,Rejected
Person 4204,54,CEO,36135873,782,Axis Bank,Travel/Vacation,1307711,24,8.47,59425,0.02,Pass
Person 4205,38,Software Engineer,1949592,650,State Bank of India,Debt Consolidation,1063360,72,25.62,29050,0.179,Rejected
Person 4206,37,High School Teacher,625235,687,HDFC Bank,Home Renovation,864600,60,13.16,19743,0.379,Pass
Person 4207,24,Freelance Designer,251041,780,HDFC Bank,Home Renovation,594119,48,4.54,13559,0.648,Rejected
Person 4208,27,Freelance Designer,504992,744,State Bank of India,Home Renovation,1275816,60,3.36,23129,0.55,Rejected
Person 4209,32,Software Engineer,1764581,728,Bajaj Finserv,Debt Consolidation,908298,72,16.99,20201,0.137,Pass
Person 4210,36,Software Engineer,1216832,687,HDFC Bank,Debt Consolidation,521859,48,13.56,14146,0.139,Rejected
Person 4211,37,Software Engineer,1648788,721,Kotak Mahindra Bank,Debt Consolidation,586010,60,17.36,14678,0.107,Pass
Person 4212,32,Freelance Designer,674968,693,Bajaj Finserv,Home Renovation,518976,36,10.7,16917,0.301,Pass
Person 4213,33,Freelance Designer,265106,677,Kotak Mahindra Bank,Home Renovation,394638,36,10.48,12823,0.58,Rejected
Person 4214,30,Doctor,154020,665,Axis Bank,Debt Consolidation,921272,72,23.5,23975,1.868,Rejected
Person 4215,38,Construction Worker,444001,759,Axis Bank,Education (Tuition/Fees),523661,60,6.45,10234,0.277,Pass
Person 4216,20,University Student,43580,716,Bajaj Finserv,Vehicle Purchase,619077,48,16.18,17602,4.847,Rejected
Person 4217,37,Software Engineer,1944235,735,Bajaj Finserv,Debt Consolidation,815856,60,18.71,21034,0.13,Pass
Person 4218,42,High School Teacher,555505,727,Bajaj Finserv,Home Renovation,754137,48,6.48,17877,0.386,Pass
Person 4219,32,Construction Worker,349794,742,Bajaj Finserv,Education (Tuition/Fees),628267,60,5.77,12079,0.414,Pass
Person 4220,49,Retail Manager,2192784,707,ICICI Bank,Medical Emergency,1364204,36,9.44,43661,0.239,Pass
Person 4221,33,Retail Manager,1486712,695,Bajaj Finserv,Medical Emergency,473656,12,8.18,41242,0.333,Rejected
Person 4222,27,Construction Worker,297876,679,Bajaj Finserv,Education (Tuition/Fees),480864,48,9.74,12136,0.489,Pass
Person 4223,18,University Student,46585,649,Axis Bank,Consumer Durable/Tech,855860,36,16.57,30331,7.813,Rejected
Person 4224,21,University Student,36828,663,Kotak Mahindra Bank,Vehicle Purchase,647639,48,18.21,19096,6.222,Rejected
Person 4225,24,Freelance Designer,423442,701,Axis Bank,Home Renovation,638899,48,13.13,17181,0.487,Pass
Person 4226,75,Retired (Pension),150371,639,HDFC Bank,Wedding Expenses,541952,24,21.34,27939,2.23,Rejected
Person 4227,45,Retail Manager,1373769,650,ICICI Bank,Medical Emergency,905235,36,14.67,31234,0.273,Rejected
Person 4228,48,Construction Worker,470835,772,ICICI Bank,Education (Tuition/Fees),870546,72,5.98,14419,0.367,Pass
Person 4229,36,High School Teacher,1009372,731,Kotak Mahindra Bank,Home Renovation,838921,48,13.05,22527,0.268,Pass
Person 4230,35,Software Engineer,1148105,697,Bajaj Finserv,Debt Consolidation,657370,60,13.95,15279,0.16,Rejected
Person 4231,64,Retired (Pension),201020,833,Axis Bank,Wedding Expenses,620158,36,7.24,19217,1.147,Rejected
Person 4232,46,Freelance Designer,398812,637,HDFC Bank,Home Renovation,718367,48,18.67,21354,0.643,Rejected
Person 4233,39,Retail Manager,1411473,768,Axis Bank,Medical Emergency,1126070,36,8.08,35329,0.3,Pass
Person 4234,20,University Student,34886,714,Bajaj Finserv,Consumer Durable/Tech,1387720,36,10.76,45275,15.573,Rejected
Person 4235,30,Software Engineer,618989,759,Bajaj Finserv,Debt Consolidation,1184094,72,11.59,22898,0.444,Rejected
Person 4236,43,Retail Manager,1887366,725,State Bank of India,Medical Emergency,959475,36,15.63,33557,0.213,Pass
Person 4237,42,Software Engineer,3244459,626,Axis Bank,Debt Consolidation,1092733,72,20.71,26626,0.098,Rejected
Person 4238,19,University Student,76543,724,Kotak Mahindra Bank,Wedding Expenses,533933,24,10.51,24764,3.882,Rejected
Person 4239,65,Retired (Pension),126716,736,Axis Bank,Wedding Expenses,628177,36,11.11,20598,1.951,Rejected
Person 4240,25,Retail Manager,1536901,610,ICICI Bank,Medical Emergency,912623,36,16.06,32112,0.251,Rejected
Person 4241,33,Construction Worker,424380,817,HDFC Bank,Education (Tuition/Fees),772608,72,4.59,12296,0.348,Pass
Person 4242,40,Retail Manager,1343333,735,Kotak Mahindra Bank,Medical Emergency,905054,36,17.16,32340,0.289,Pass
Person 4243,22,University Student,3208,753,State Bank of India,Wedding Expenses,1131115,48,4.39,25737,96.274,Rejected
Person 4244,26,High School Teacher,465013,661,HDFC Bank,Home Renovation,1071649,60,16.13,26135,0.674,Rejected
Person 4245,41,High School Teacher,519384,754,HDFC Bank,Medical Emergency,551052,12,5.3,47250,1.092,Rejected
Person 4246,20,University Student,0,774,ICICI Bank,Consumer Durable/Tech,808287,24,10.28,37403,37402.888,Rejected
Person 4247,32,Retail Manager,2266140,732,ICICI Bank,Medical Emergency,584659,24,12.88,27763,0.147,Pass
Person 4248,40,Software Engineer,1293381,719,ICICI Bank,Debt Consolidation,614482,60,13.62,14177,0.132,Rejected
Person 4249,23,Freelance Designer,762180,675,Kotak Mahindra Bank,Home Renovation,444373,36,12.91,14953,0.235,Pass
Person 4250,46,CEO,38815906,709,Axis Bank,Travel/Vacation,843156,18,12.61,51657,0.016,Rejected
Person 4251,44,Retail Manager,1257532,694,HDFC Bank,Medical Emergency,433111,12,14.77,39045,0.373,Rejected
Person 4252,32,Software Engineer,1722591,748,Axis Bank,Debt Consolidation,922984,72,8.54,16427,0.114,Pass
Person 4253,34,Retail Manager,1614226,677,Axis Bank,Medical Emergency,1290232,36,13.31,43666,0.325,Rejected
Person 4254,31,Freelance Designer,720803,748,ICICI Bank,Home Renovation,967764,60,10.31,20710,0.345,Pass
Person 4255,32,Software Engineer,2608671,678,Axis Bank,Debt Consolidation,819550,60,15.43,19683,0.091,Rejected
Person 4256,25,Construction Worker,343592,706,HDFC Bank,Education (Tuition/Fees),1371502,84,11.38,23758,0.83,Rejected
Person 4257,59,CEO,37573182,750,HDFC Bank,Travel/Vacation,901901,24,11.87,42401,0.014,Pass
Person 4258,25,High School Teacher,998310,684,Bajaj Finserv,Home Renovation,596552,48,9.36,14947,0.18,Pass
Person 4259,32,Retail Manager,1860922,752,State Bank of India,Medical Emergency,840723,24,7.1,37679,0.243,Pass
Person 4260,31,High School Teacher,433587,747,Kotak Mahindra Bank,Medical Emergency,1589814,36,7.46,49424,1.368,Rejected
Person 4261,41,Software Engineer,4623244,706,Axis Bank,Debt Consolidation,550781,48,14.3,15134,0.039,Rejected
Person 4262,20,University Student,0,778,Kotak Mahindra Bank,Consumer Durable/Tech,498433,12,9.88,43792,43792.366,Rejected
Person 4263,44,High School Teacher,489976,723,Kotak Mahindra Bank,Medical Emergency,996596,36,14.48,34294,0.84,Rejected
Person 4264,45,Retail Manager,947465,775,Kotak Mahindra Bank,Medical Emergency,744676,24,11.32,34818,0.441,Pass
Person 4265,39,Construction Worker,271969,809,Bajaj Finserv,Education (Tuition/Fees),669173,60,5.71,12847,0.567,Rejected
Person 4266,36,High School Teacher,570594,707,Kotak Mahindra Bank,Medical Emergency,519787,12,13.01,46428,0.976,Rejected
Person 4267,30,Construction Worker,487245,752,Bajaj Finserv,Education (Tuition/Fees),408874,48,7.66,9917,0.244,Pass
Person 4268,29,Software Engineer,804410,688,HDFC Bank,Debt Consolidation,485369,48,15.67,13674,0.204,Rejected
